FID,id1,aa,company,a_m,thesh,kal_dhmos,kal_dhm_enothta,kal_perif_enothta,kal_perifereia,epo,power_mw,katastash_code,katastash_descr,paratiriseis,imerominia,imerominia_ekdosis_adeias,geometry
V_SDI_R_AIOLIKA13.33208,33208,Γ-00647,ΕΝ.ΤΕ.ΚΑ ΑΙΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΥ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝ,ΑΔ-00736,ΜΠΟΖΙΚΙ,ΤΡΙΠΟΛΗΣ,"ΣΚΙΡΙΤΙΔΑΣ,ΤΕΓΕΑΣ",ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΝΑΙ,3.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2003-11-17,2004-09-24,"MULTIPOLYGON (((22.379892867393938 37.39234422044507, 22.381564880625323 37.393385571444895, 22.383419429202725 37.39329377765458, 22.384979543129557 37.39165673710181, 22.385453833850594 37.3916632150939, 22.385481085557547 37.39039277627, 22.38518748194859 37.39038876649174, 22.38498161261945 37.387348625279415, 22.382618104330028 37.38747854803183, 22.3799667412183 37.391011332957724, 22.379892867393938 37.39234422044507)))"
V_SDI_R_AIOLIKA13.33237,33237,Γ-03801,XIONAKI Α.Ε.,ΑΔ-02386,ΧΙΟΝΑΚΙ,ΑΜΦΙΛΟΧΙΑΣ,ΙΝΑΧΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΝΑΙ,14.4,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2009-02-10,2011-01-27,"MULTIPOLYGON (((21.364022976818198 39.097262882283644, 21.36689351714501 39.09579692965488, 21.361574728317454 39.09092567520584, 21.368704000087043 39.0760855008352, 21.36945826240077 39.06672884992617, 21.3655132763178 39.06659445649223, 21.364956210516997 39.07532156713887, 21.359586264079724 39.0853434911028, 21.35738266856787 39.091452064660004, 21.364022976818198 39.097262882283644)))"
V_SDI_R_AIOLIKA13.33220,33220,Γ-01364,ΤΕΡΝΑ ΕΝΕΡΓΕΙΑΚΗ ΑΒΕΤΕ,ΑΔ-01111,ΣΚΟΠΙΑ,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΝΑΙ,20,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2006-02-10,2008-08-11,"MULTIPOLYGON (((21.833658905325237 38.45334745952208, 21.829514200535563 38.45667611430947, 21.828763538330918 38.45610417796487, 21.818389689089326 38.46495808330424, 21.820967709076278 38.46650184955043, 21.83077527435443 38.458186879682444, 21.83118987316674 38.458500921208746, 21.83565476720503 38.454918077723335, 21.833658905325237 38.45334745952208)), ((21.850885718687714 38.44587057985123, 21.847897907745743 38.44760759669471, 21.846288687910683 38.44711071237444, 21.843477234094003 38.448435382750304, 21.846413507808645 38.45013555784828, 21.845536360425463 38.4531430555311, 21.850287545712995 38.45442053046008, 21.853871329517045 38.446420914199614, 21.850885718687714 38.44587057985123)))"
V_SDI_R_AIOLIKA13.33219,33219,Γ-03458,EMV (EMB) ΕΝΕΡΓΕΙΑΚΕΣ ΕΠΕΝΔΥΣΕΙΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ (δ.τ. EMV A.E.),ΑΔ-01633,ΚΑΨΑΛΑ,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ,ΔΙΣΤΟΜΟΥ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,14,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2008-06-10,2010-06-03,"MULTIPOLYGON (((22.682769784002883 38.38473437220009, 22.676912514697744 38.38824604980622, 22.675383486990167 38.389841874008496, 22.672771043807966 38.390569303626165, 22.670798044759096 38.392015851228585, 22.66924943517694 38.392169501164744, 22.662983596215913 38.391683656134795, 22.66227276412421 38.39732586719714, 22.66935079536091 38.39788405871624, 22.674020199329355 38.39740528958845, 22.676585048053727 38.39553281283749, 22.67983073981731 38.39462318853461, 22.682071688271396 38.392287343926505, 22.687141819406595 38.38925322955401, 22.682769784002883 38.38473437220009)))"
V_SDI_R_AIOLIKA13.33241,33241,Β-00341,ΤΕΡΝΑ ΑΙΟΛΙΚΗ ΑΜΑΡΥΝΘΟΥ Α.Ε.,ΑΔ-00383,ΣΕΡΒΟΥΝΙ/ΒΟΡΙΝΑ ΛΙΘΑΡΙΑ,"ΕΡΕΤΡΙΑΣ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ","ΑΜΑΡΥΝΘΙΩΝ,ΤΑΜΥΝΕΩΝ",ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,9.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2002-12-03,"MULTIPOLYGON (((23.94225859660318 38.421113284521404, 23.941582969102225 38.42079752261844, 23.940688498857497 38.42194162305715, 23.939439491090994 38.422337521169524, 23.93696338318192 38.424237789564486, 23.934530107351918 38.42931032053844, 23.93499858860785 38.430707470544185, 23.93514482292159 38.43373564577527, 23.93693221038465 38.433736621309265, 23.936637809167703 38.42973505193203, 23.936076885874257 38.4292030281446, 23.935710456968163 38.428986535146, 23.9353669278402 38.42878807800673, 23.935791397098335 38.42814844577032, 23.93619294560683 38.42750879944697, 23.93646825995944 38.427103400339234, 23.93685833239254 38.42647275758992, 23.937351614309136 38.42571599795454, 23.937604041573653 38.425265522833065, 23.937982599523938 38.42467993099052, 23.938097338252867 38.424472711115754, 23.938441343980767 38.42409438000922, 23.938808341813512 38.42361692568979, 23.939198125813725 38.42328367719219, 23.939415924576814 38.42312157039269, 23.939633647361088 38.423049585140646, 23.939816987018855 38.42299560623165, 23.940516027014258 38.422716584908706, 23.94092856318129 38.422563586155604, 23.941272304292077 38.422482649098484, 23.941604632347318 38.42234763214188, 23.941845269471397 38.4222666419843, 23.941994288578936 38.422149557219534, 23.94217780381323 38.42187026966255, 23.942258316818588 38.421464760276, 23.94225859660318 38.421113284521404)))"
V_SDI_R_AIOLIKA13.33242,33242,00487,ΤΕΡΝΑ ΑΙΟΛΙΚΗ ΑΜΑΡΥΝΘΟΥ Α.Ε.,ΑΔ-00387,ΣΕΡΒΟΥΝΙ/ΚΑΛΟΓΕΡΙΚΗ ΡΑΧΗ,"ΕΡΕΤΡΙΑΣ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ","ΑΜΑΡΥΝΘΙΩΝ,ΤΑΜΥΝΕΩΝ",ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,8.4,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2002-12-03,"MULTIPOLYGON (((23.941949258825463 38.42115819272747, 23.942190092724783 38.42082486026057, 23.942488223450074 38.42046451879771, 23.942625917749712 38.42017619575905, 23.94271781771674 38.41985180135318, 23.942740956192925 38.41956342210478, 23.94261540333801 38.41898657954786, 23.942592713857838 38.41870719004557, 23.94263873434399 38.418454870793234, 23.942753485466547 38.418202585101845, 23.942833806515882 38.41803139236654, 23.942868335152678 38.41782412842773, 23.942914417939928 38.417490699184846, 23.942960436530328 38.41723837975196, 23.943098257116194 38.41677882408184, 23.94329327277867 38.41641843020894, 23.943534098772265 38.416067070277634, 23.943694648137928 38.415832830035775, 23.943820860133915 38.415562524265944, 23.943889797686793 38.4152921909429, 23.943924294131996 38.415120975426845, 23.943981811038576 38.414805575502264, 23.94414259899935 38.414255907250784, 23.94436054619427 38.41385046129873, 23.94452115688888 38.41352609771839, 23.944590131182593 38.41320169061531, 23.944773696065877 38.41281425199232, 23.944923046738104 38.41222852822386, 23.9450951191243 38.41188614471607, 23.94532450117311 38.4114897143764, 23.94547375662527 38.41102114856668, 23.94556570658198 38.4105976170251, 23.94560025087709 38.41035430314316, 23.946849394991844 38.40944464198904, 23.946311934205678 38.4082728082163, 23.945073520581715 38.41015578866893, 23.944751912811554 38.411336238182955, 23.944086708357045 38.41246244987331, 23.943616243584703 38.41354369033364, 23.942089978272087 38.41708474535554, 23.941905125253587 38.419049315078645, 23.941159061872817 38.420860395987376, 23.941949258825463 38.42115819272747)))"
V_SDI_R_AIOLIKA13.33250,33250,00228,ΑΙΟΛΙΚΑ ΠΑΡΚΑ ΘΡΑΚΗΣ ΑΕ,ΑΔ-00110,ΣΩΡΟΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΕΒΡΟΥ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,ΝΑΙ,11.25,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-09-11,"MULTIPOLYGON (((25.956955844983284 41.06841980592196, 25.954965100567524 41.07045768211512, 25.9531164348583 41.07126295040612, 25.951272742179977 41.072731195013844, 25.950938687181377 41.07575853780224, 25.95053782498384 41.07703159643777, 25.950266222558565 41.078400100506755, 25.950542782214804 41.07995578083092, 25.950204530304205 41.0802929552655, 25.94989943314742 41.08053888803715, 25.949405760624913 41.080137074133695, 25.946355189754197 41.08228291733506, 25.947551349299378 41.08325652925889, 25.946845555412192 41.084051449933916, 25.946271752932674 41.0848393769718, 25.943982265643644 41.086893685988116, 25.947166773516752 41.0889253332535, 25.949721458388648 41.08663295850104, 25.950405345742222 41.08569380195052, 25.95130100676022 41.08468497040543, 25.951820654346566 41.08371901959908, 25.952474671081863 41.08306794721311, 25.953390426082038 41.08232975233854, 25.95489993550703 41.08082494977258, 25.95447302672852 41.07842444834678, 25.954630273770526 41.077631885393615, 25.955062902727654 41.07625766592082, 25.95530103948029 41.07409838568341, 25.95571846723791 41.07376594715899, 25.957796648151533 41.07286067229376, 25.960304527601306 41.07029331177798, 25.956955844983284 41.06841980592196)))"
V_SDI_R_AIOLIKA13.33251,33251,00224,ΠΛΑΣΤΙΚΑ ΚΡΗΤΗΣ ΑΒΕΕ,ΑΔ-00165,ΑΓ. ΙΩΑΝΝΗΣ - ΒΡΟΥΧΑ,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,ΝΑΙ,7.65,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-10-22,"MULTIPOLYGON (((25.750299391644504 35.32321610904775, 25.747369048699188 35.32733105465663, 25.75033833404262 35.329730328386624, 25.751044170241734 35.32990660829327, 25.755096372759734 35.33295393995852, 25.757117440689278 35.331149042564405, 25.756854229051388 35.33262246106383, 25.75952992318226 35.335265648628045, 25.762493073057634 35.333251298230735, 25.760911865713126 35.33168938262629, 25.76132154151997 35.329395383251324, 25.757512320993573 35.32893847325914, 25.75726818726398 35.33030516469987, 25.755351721597705 35.32886400599786, 25.754983303598188 35.327592154091995, 25.752366685266487 35.32693871080534, 25.752201084407695 35.326804906535365, 25.75362422513556 35.32480627871636, 25.750299391644504 35.32321610904775)))"
V_SDI_R_AIOLIKA13.33258,33258,00026,Χ. ΡΟΚΑΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-00080,ΠΛΑΚΟΚΕΡΑΤΙΑ ΜΗΤΑΤΟΥ,ΣΗΤΕΙΑΣ,ΙΤΑΝΟΥ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,ΝΑΙ,10.2,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-08,2001-07-16,"MULTIPOLYGON (((26.20691852404122 35.172914319700396, 26.206523629861977 35.17323198946918, 26.20798351665309 35.17505027319649, 26.209255031264416 35.177001338483336, 26.2104557144891 35.17623740925064, 26.20691852404122 35.172914319700396)), ((26.2008387282316 35.168229862126815, 26.20034387670166 35.169014137380366, 26.201450426590647 35.16933659128739, 26.20526623525167 35.17281902678531, 26.206205644391147 35.17220711118624, 26.20576742276797 35.17179000906606, 26.202972739763375 35.169129869241885, 26.201446863047526 35.168390090845435, 26.2008387282316 35.168229862126815)), ((26.204432734699164 35.16352063897005, 26.204002492560942 35.16388996811017, 26.207775600718875 35.16619702359207, 26.208137252515453 35.16670968739542, 26.20840916024036 35.167244630853865, 26.210918878595994 35.16846389292927, 26.211286233471316 35.1680955978397, 26.208852713669017 35.1664868620798, 26.208345544493294 35.166341597024875, 26.20814586519372 35.16593208567201, 26.204432734699164 35.16352063897005)))"
V_SDI_R_AIOLIKA13.33260,33260,Γ-00348,ENEL GREEN POWER HELLAS AE,ΑΔ-00618,ΠΑΝΑΓΙΑ ΣΟΥΜΕΛΑ,"ΒΕΡΟΙΑΣ,ΚΟΖΑΝΗΣ","ΒΕΡΟΙΑΣ,ΕΛΛΗΣΠΟΝΤΟΥ","ΗΜΑΘΙΑΣ,ΚΟΖΑΝΗΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ",ΝΑΙ,14,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2002-10-16,2003-12-22,"MULTIPOLYGON (((22.109851645996045 40.4330554422209, 22.115738544251776 40.430791397775366, 22.115722584317883 40.42629600231311, 22.106856116674006 40.40829667230886, 22.100956192463354 40.40856921734234, 22.103946310160993 40.42631060669597, 22.109851645996045 40.4330554422209)))"
V_SDI_R_AIOLIKA13.33262,33262,Β-00274,ΔΕΗ ΑΝΑΝΕΩΣΙΜΕΣ ΑΕ,ΑΔ-00205,ΚΑΣΤΡΙ ΣΚΑΛΟΧΩΡΙΟΥ,ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ,ΚΑΛΛΟΝΗΣ,ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,2.7,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-12-04,"MULTIPOLYGON (((26.049385925778854 39.259381508425435, 26.04610821512417 39.26035501825483, 26.044872104647627 39.26093281063514, 26.043911536367307 39.2616809270286, 26.042929892228305 39.26219067569545, 26.042257323691363 39.26264463121124, 26.04088238426079 39.26301979468489, 26.039927315320643 39.26401152571402, 26.037765316722894 39.26557481200277, 26.040527495600248 39.26788312976408, 26.04295585251818 39.26612718988662, 26.043389580486725 39.26567679928172, 26.044331294361328 39.26541983417263, 26.04539538774324 39.264701606834386, 26.046498083600227 39.26412898422295, 26.04738965448659 39.26343459049278, 26.04789053979451 39.26320045920974, 26.050833291339853 39.26232642494599, 26.049385925778854 39.259381508425435)))"
V_SDI_R_AIOLIKA13.33268,33268,00223,Χ. ΡΟΚΑΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-00163,ΞΗΡΟΛΙΜΝΗ,ΣΗΤΕΙΑΣ,ΙΤΑΝΟΥ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,ΝΑΙ,3,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-10-22,"MULTIPOLYGON (((26.20346166099042 35.1604374532551, 26.204351848934508 35.16084125758488, 26.205362887574708 35.161280897328595, 26.20631898213334 35.161693673372014, 26.207242478896426 35.16218753889879, 26.20765983376345 35.16231290094145, 26.208000387254266 35.1624113550808, 26.208472591877793 35.16248243611157, 26.20905493523827 35.162688622812624, 26.209461330379 35.16277793856404, 26.209911427728347 35.162831117019486, 26.210317311353847 35.16273112637103, 26.210437436921172 35.162541604188704, 26.211026846399044 35.16146780754089, 26.20998329778516 35.161154476760885, 26.209499779967103 35.160957128857156, 26.208774205014258 35.16058903457881, 26.20838934204929 35.160337506098735, 26.207795919819596 35.160086262934705, 26.206532709503904 35.15975536054456, 26.20568659546753 35.159414504880104, 26.20517075646985 35.15939757538735, 26.2044673482112 35.159056456264295, 26.204039260150115 35.15905730658519, 26.20355960941218 35.16015783139107, 26.20346166099042 35.1604374532551)))"
V_SDI_R_AIOLIKA13.33285,33285,Γ-00104,Χ. ΡΟΚΑΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-00335,ΑΣΠΡΗ ΡΑΧΗ/ ΜΙΣΟΧΩΡΙΑ,ΚΑΡΥΣΤΟΥ,ΚΑΦΗΡΕΩΣ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,12.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-12-14,2002-07-18,"MULTIPOLYGON (((24.550488369114916 38.03544663684058, 24.550403145996874 38.03624015328309, 24.55177887893159 38.03607030476947, 24.55565352354176 38.03678271634485, 24.559247015585488 38.03770669381544, 24.56026609592617 38.03807794164604, 24.563373384417087 38.03719291812941, 24.56764484185369 38.037192020689034, 24.57579532303799 38.04007556156232, 24.577256432197238 38.04191031823188, 24.579942578101374 38.04290192200735, 24.580349428290567 38.04215132142559, 24.577947725770162 38.041229168484136, 24.576518561738986 38.039457712853306, 24.56779207255918 38.03636565719144, 24.563195787244563 38.036381995802586, 24.55992075088228 38.03735172180666, 24.559610122796855 38.03696394250167, 24.555794830328942 38.03598406437806, 24.551953367365194 38.03528429950665, 24.550488369114916 38.03544663684058)))"
V_SDI_R_AIOLIKA13.33299,33299,Γ-05745,ΘΗΒΑΙΚΟΣ ΑΝΕΜΟΣ ΑΕ,ΑΔ-03369,ΠΕΥΚΙΑΣ,ΘΗΒΑΙΩΝ,ΘΙΣΒΗΣ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,10.35,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2013-03-08,2014-02-26,"MULTIPOLYGON (((22.947703648367227 38.26390271313028, 22.9468348274902 38.262326814784366, 22.944344757230688 38.262998370248916, 22.94212834162195 38.26450145178339, 22.94113651484706 38.266682441715254, 22.939275549006314 38.268098553794935, 22.938927440853913 38.2692399399952, 22.940934545189116 38.27035754658198, 22.941342392829984 38.26903645197185, 22.943110993367196 38.26768255986341, 22.94440653887685 38.265837733156495, 22.945688211718977 38.264948047773245, 22.947703648367227 38.26390271313028)))"
V_SDI_R_AIOLIKA13.33300,33300,Γ-00960,ΑΙΟΛΙΚΗ ΑΔΕΡΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΔ-00897,ΑΣΤΡΑΠΗ,"ΕΡΜΙΟΝΙΔΑΣ,ΤΡΟΙΖΗΝΙΑΣ - ΜΕΘΑΝΩΝ","ΕΡΜΙΟΝΗΣ,ΤΡΟΙΖΗΝΟΣ","ΑΡΓΟΛΙΔΑΣ,ΝΗΣΩΝ","ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΤΤΙΚΗΣ",ΝΑΙ,8.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-05-17,2006-02-10,"MULTIPOLYGON (((23.340855651462547 37.46119229866761, 23.34321450926034 37.46118965821517, 23.343213083042233 37.460447746668386, 23.34440398665818 37.460445345717076, 23.344398458558306 37.45987403744545, 23.344870432471815 37.45910798076067, 23.346061369771707 37.459255097727265, 23.346476231769955 37.45859192340047, 23.347165095818426 37.45880826989075, 23.348355739166774 37.45880681905991, 23.34870188030431 37.459754787760005, 23.34957737524922 37.45991374091368, 23.35015244164311 37.46062140231602, 23.350520115124052 37.46029920673969, 23.35130067255254 37.459106045788204, 23.35003501300935 37.458511769679816, 23.34875244798691 37.458513271750675, 23.34757730064106 37.45851463187437, 23.347576402409263 37.45805836174916, 23.348415790629254 37.45698100767824, 23.34789077988302 37.4565035491399, 23.347440360055668 37.45600459724295, 23.346341836264777 37.455196051141144, 23.345107222498463 37.454800732665966, 23.344361642357715 37.456371894885145, 23.346109313828585 37.457930283331194, 23.345967590842328 37.45845507831521, 23.343981839429894 37.45845732198151, 23.34398369011527 37.45953985753343, 23.342279800339796 37.45954174393188, 23.34085271193533 37.45954334724927, 23.340853200872015 37.45980969979371, 23.340854366110044 37.46050140454464, 23.340855651462547 37.46119229866761)))"
V_SDI_R_AIOLIKA13.33315,33315,Γ-01969,EOS ENERGY ΑΕ,ΑΔ-01156,ΣΠΙΘΑΡΙ,ΕΡΜΙΟΝΙΔΑΣ,ΚΡΑΝΙΔΙΟΥ,ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΝΑΙ,2.55,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2007-06-07,2008-12-08,"MULTIPOLYGON (((23.205665164798 37.49336217255796, 23.20381550616046 37.494972134642, 23.207115044554975 37.49960017483377, 23.20990869449727 37.498591364413386, 23.205665164798 37.49336217255796)))"
V_SDI_R_AIOLIKA13.33330,33330,00091,Χ. ΡΟΚΑΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-00076,ΜΑΥΡΟΜΙΧΑΛΗ/ΜΥΡΤΙΑ ΜΕΣΟΧΩΡΙΩΝ,ΚΑΡΥΣΤΟΥ,ΣΤΥΡΕΩΝ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,11.4,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-14,2001-07-16,"MULTIPOLYGON (((24.21914653752468 38.27161947754006, 24.21866942284501 38.272440317486044, 24.21896698288967 38.272547731381, 24.21967565651978 38.27258227626345, 24.219752509509746 38.27168116086276, 24.21924953380783 38.27165524469938, 24.21914653752468 38.27161947754006)), ((24.235656493131494 38.270690657392244, 24.23267472754843 38.27094967627539, 24.232792350709868 38.271841311874304, 24.23553416760376 38.27160980911825, 24.24148238808098 38.27312757659913, 24.24183349153019 38.272270854398016, 24.235656493131494 38.270690657392244)), ((24.21659447838832 38.26389506924531, 24.214428428522556 38.26536816346491, 24.21191482944898 38.265481599644346, 24.207213650749555 38.264067923339006, 24.20682797500428 38.264915592097864, 24.211975086149874 38.26639138568843, 24.21488849942856 38.266250089343956, 24.217339520423852 38.264578185932095, 24.21659447838832 38.26389506924531)), ((24.202844965811103 38.255878471572764, 24.199246617115097 38.25610192585587, 24.199145937832874 38.25677784992411, 24.202745775303626 38.25699582569244, 24.202844965811103 38.255878471572764)))"
V_SDI_R_AIOLIKA13.33332,33332,Α-00195,ΑΙΟΛΙΚΗ ΕΝΕΡΓΕΙΑΚΗ ΠΕΛΟΠΟΝΝΗΣΟΥ ΑΕ,ΑΔ-00382,ΜΑΛΑΒΡΙΑ ΔΙΔΥΜΩΝ,"ΝΑΥΠΛΙΕΩΝ,ΕΡΜΙΟΝΙΔΑΣ","ΑΣΙΝΗΣ,ΚΡΑΝΙΔΙΟΥ",ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΝΑΙ,66,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2002-12-03,"MULTIPOLYGON (((23.08040048552463 37.47906869954783, 23.093405129820248 37.478276878187685, 23.103432352366607 37.48433826570661, 23.132897699743314 37.47962324106194, 23.13798227721701 37.478808804153815, 23.15289517218267 37.48625356555925, 23.156759156993235 37.495700192604446, 23.1726293862205 37.49272982777635, 23.185040444300355 37.49777346116817, 23.188604002478016 37.49463428951854, 23.174942276264144 37.48814015821853, 23.161190536456814 37.48990909460131, 23.158886330082215 37.48355629839683, 23.13858441768026 37.47463098102706, 23.10410624368397 37.479052532784216, 23.094490880805477 37.47452663054786, 23.07982034661744 37.47472875873655, 23.08040048552463 37.47906869954783)))"
V_SDI_R_AIOLIKA13.33334,33334,00028,ΡΟΚΑΣ ΑΙΟΛΙΚΗ  ΑΒΕΕ,ΑΔ-00098,ΤΣΟΥΚΚΑ ΚΟΜΗΤΟΥ ΚΑΦΗΡΕΩΣ,ΚΑΡΥΣΤΟΥ,ΚΑΦΗΡΕΩΣ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,11.4,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-08,2001-07-16,"MULTIPOLYGON (((24.537445284799926 38.04228453058498, 24.53260212951896 38.0441514177748, 24.532773657728768 38.04485945768007, 24.537108593723627 38.04388217017163, 24.541476467876187 38.04496082775417, 24.54528624609878 38.045239842027485, 24.54923173303337 38.044945102272266, 24.55235766572838 38.0458606190938, 24.554562923602372 38.04622051467816, 24.55791033171525 38.047949443019974, 24.558371537636624 38.04850748096802, 24.559134375130782 38.0481131653262, 24.55856864752506 38.04742872145249, 24.55491641736274 38.045541749341645, 24.552634264166034 38.04516984484191, 24.549353258687855 38.04421201192248, 24.54540348280435 38.04450711899199, 24.543407380555504 38.043938615728585, 24.537445284799926 38.04228453058498)))"
